brand_name,model_name,best_price,screen_size,release_date,sim2
ALCATEL,1 1/8GB Bluish Black (5033D-2JALUAA),1690.0,5.0,10-2020,0
ALCATEL,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),1803.0,5.0,9-2020,1
ALCATEL,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),1803.0,5.0,9-2020,1
ALCATEL,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),1803.0,5.0,9-2020,1
Nokia,1.3 1/16GB Charcoal,1999.0,5.71,4-2020,1
Honor,10 6/64GB Black,10865.0,5.8,6-2018,0
Honor,10 Lite 3/32GB Blue,3999.0,6.21,12-2018,0
Honor,10 Lite 4/64GB Black,4973.0,6.21,1-2019,1
Honor,10 lite 3/128GB Blue,5100.0,6.21,1-2021,1
Honor,10 lite 3/64GB Black,4948.0,6.21,12-2018,0
Honor,10 lite 3/64GB Black,4948.0,6.21,12-2018,1
Honor,10 lite 3/64GB Blue,5165.0,6.21,12-2018,0
Nokia,105 DS 2019 Pink (16KIGP01A01),583.0,1.77,10-2019,1
Nokia,105 Dual Sim 2019 Black (16KIGB01A01),601.0,1.77,11-2019,1
Nokia,105 Dual Sim 2019 Black (16KIGB01A01),601.0,1.77,11-2019,0
Nokia,105 Dual Sim New Black (A00028315),552.0,1.8,9-2017,0
Nokia,105 Single Sim 2019 Black (16KIGB01A13),536.0,1.77,11-2019,0
Nokia,105 Single Sim 2019 Pink (16KIGP01A13),547.0,1.77,11-2019,0
Nokia,105 Single Sim New Black (A00028356),663.0,1.8,9-2017,0
Nokia,105 Single Sim New Black (A00028356),663.0,1.8,9-2017,1
Nokia,105 Single Sim New Blue (A00028372),474.0,1.8,9-2017,0
Nokia,105 Single Sim New White (A00028371),499.0,1.8,9-2017,1
Nokia,106 New DS Grey (16NEBD01A02),596.0,1.8,1-2019,1
Nokia,106 New DS Grey (16NEBD01A02),596.0,1.8,1-2019,0
Honor,10i 4/128GB Black (51093VQV),5499.0,6.21,5-2019,0
Honor,10i 4/128GB Blue (51093VQX),5499.0,6.21,5-2019,0
Nokia,110 Dual Sim 2019 Black (16NKLB01A07),710.0,1.77,11-2019,1
Nokia,110 Dual Sim 2019 Blue (16NKLL01A04),702.0,1.77,11-2019,1
Nokia,125 Dual Sim Black (16GMNB01A17),992.0,2.4,7-2020,1
Meizu,15 4/128GB Black,6584.0,5.45,5-2018,1
Meizu,15 4/64GB Black,5272.0,5.45,5-2018,0
Meizu,15 4/64GB Black,5272.0,5.45,5-2018,0
Meizu,15 4/64GB Black,5272.0,5.45,5-2018,0
Meizu,15 Plus 6/64GB Black,5328.0,5.95,6-2018,1
Meizu,15 Plus 6/64GB Gray,5328.0,5.95,6-2018,1
Meizu,15 Plus 6/64GB Gray,5328.0,5.95,6-2018,1
Nokia,150 Black,1180.0,2.4,2-2017,0
Nokia,150 Dual Sim Cyan (16GMNE01A04),1190.0,2.4,7-2020,1
Nokia,150 Dual Sim Red (16GMNR01A02),1196.0,2.4,7-2020,0
Nokia,150 White,1090.0,2.4,2-2017,1
Meizu,16 6/128GB Black,5926.0,6.0,11-2018,1
Meizu,16 6/64GB Black,5231.0,6.0,11-2018,1
Meizu,16X 6/128GB Dual Purple,5649.0,6.0,3-2020,1
Meizu,16Xs 6/128GB Pearl White,7229.0,6.2,11-2020,0
Meizu,16th 6/64GB Black,7776.0,6.0,9-2018,1
ALCATEL,1B 5002H Pine Green (5002H-2BALUA12),2399.0,5.5,9-2020,0
ALCATEL,1B 5002H Prime Black (5002H-2AALUA12),2408.0,5.5,9-2020,0
ALCATEL,1SE 3/32GB Power Gray (5030D-2AALUA2),3249.0,6.22,10-2020,1
ALCATEL,1SE 4/128GB Agate Green (5030E-2BALUA2),3877.0,6.22,10-2020,0
ALCATEL,1SE 4/128GB Agate Green (5030E-2BALUA2),3877.0,6.22,10-2020,1
Nokia,2.2 2/16GB Black,2299.0,5.71,8-2019,0
Nokia,2.3 2/32GB Green,2799.0,6.2,2-2020,1
Nokia,2.4 2/32GB Charcoal,3162.0,6.5,9-2020,0
Honor,20 6/128GB Black,9999.0,6.26,7-2019,0
ALCATEL,2003 Dual SIM Dark Gray (2003D-2AALUA1),655.0,2.4,10-2020,1
ALCATEL,2003 Dual SIM Dark Gray (2003D-2AALUA1),655.0,2.4,10-2020,0
ALCATEL,2003 Dual SIM Metallic Blue (2003D-2BALUA1),654.0,2.4,10-2020,0
ALCATEL,2019 Single SIM Metallic Gray (2019G-3AALUA1),864.0,2.4,10-2020,0
ALCATEL,2053 Dual SIM Pure White (2053D-2BALUA1),900.0,2.4,10-2020,1
ALCATEL,2053 Dual SIM Volcano Black (2053D-2AALUA1),898.0,2.4,10-2020,1
Nokia,210 Dual SIM 2019 Black (16OTRB01A02),1153.0,2.4,5-2019,1
Nokia,230 Dual Blue (16PCML01A02),1864.0,2.8,3-2019,0
Nokia,230 Dual Dark Silver (A00026971),1847.0,2.8,12-2015,1
Nokia,2720 Flip Black (16BTSB01A10),2530.0,2.8,9-2019,0
Nokia,2720 Flip Red,2567.0,2.8,1-2020,1
Nokia,2720 Flip Red,2567.0,2.8,1-2020,0
realme,3 Pro 6/128GB Nitro Blue,7068.0,6.3,10-2019,1
realme,3 Pro 6/128GB Nitro Blue,7068.0,6.3,10-2019,1
Nokia,3.4 3/64GB Charcoal,3899.0,6.39,9-2020,1
OnePlus,3T 128GB (Gunmetal),6991.0,5.5,1-2017,0
OnePlus,3T 128GB (Gunmetal),6991.0,5.5,1-2017,1
OnePlus,3T 64GB (Gunmetal),5856.0,5.5,12-2016,0
ALCATEL,3X 5048Y Black (5048Y-2AALWE12),3590.0,6.52,9-2020,1
Archos,40 Neon,840.0,4.0,5-2016,0
Archos,40 Neon,840.0,4.0,5-2016,1
realme,5 4/128GB Violet,5757.0,6.5,3-2020,0
OnePlus,5 6/64GB Black,7333.0,5.5,6-2017,0
OnePlus,5 6/64GB Slate Grey,7333.0,5.5,6-2017,1
realme,5 Pro 8/128GB Green,8294.0,6.3,1-2020,0
realme,5 Pro 8/128GB Green,8294.0,6.3,1-2020,1
realme,5 Pro 8/128GB Green,8294.0,6.3,1-2020,0
Nokia,5.3 4/64GB Charcoal,4429.0,6.55,6-2020,0
Nokia,5.4 4/128GB Polar Night,9323.0,6.39,1-2021,0
Nokia,5310 2020 DualSim Black/Red (16PISXO1A18),1365.0,2.4,4-2020,0
realme,5i 4/64GB Green,4761.0,6.5,3-2020,0
realme,6 4/128GB Blue,5936.0,6.5,4-2020,1
realme,6 4/64GB Blue,5299.0,6.5,4-2020,1
Nokia,6 64GB Black,6381.0,5.5,4-2017,0
Nokia,6 64GB Silver,5265.0,5.5,5-2017,1
realme,6 8/128GB Blue,6767.0,6.5,4-2020,0
realme,6 Pro 8/128GB Blue,8045.0,6.6,4-2020,0
Nokia,6.1 4/32GB Black,3820.0,5.5,6-2018,0
Nokia,6.1 4/64GB Black,3962.0,5.5,3-2018,0
Nokia,6.1 Plus 4/64GB Blue,5020.0,5.8,9-2018,1
realme,6S 4/64GB Eclipse Black,5777.0,6.5,1-2021,0
realme,6S 4/64GB Eclipse Black,5777.0,6.5,1-2021,0
realme,6S 6/128GB Lunar White,6078.0,6.5,10-2020,0
OnePlus,6T 8/256GB Midnight Black,15625.0,6.41,10-2018,0
realme,6i 3/64GB White,4292.0,6.5,4-2020,1
realme,6i 4/128GB Green,4946.0,6.5,4-2020,1
Honor,7 16GB (Gold),2766.0,5.2,7-2015,0
Honor,7 16GB (Gold),2766.0,5.2,7-2015,0
Honor,7 16GB (Gold),2766.0,5.2,7-2015,0
realme,7 6/64GB Mist Blue,6215.0,6.5,2-2021,1
OnePlus,7 8/256GB Mirror Gray,14443.0,6.41,7-2019,1
Nokia,7 Plus 4/64GB Black,7612.0,6.0,3-2018,1
realme,7 Pro 8/128GB Mirror Blue,8584.0,6.4,10-2020,0
OnePlus,8 12/256GB Onyx Black,17172.0,6.55,4-2020,1
Honor,8 3/32GB Blue,3613.0,5.2,5-2018,0
Honor,8 4/64GB (Blue),3499.0,5.2,11-2016,0
OnePlus,8 8/128GB Onyx Black,15840.0,6.55,4-2020,0
Nokia,8 Dual SIM Silver,6222.0,5.3,10-2017,1
OnePlus,8 Pro 12/256GB Glacial Green,22587.0,6.78,4-2020,0
OnePlus,8 Pro 8/128GB Onyx Black,20709.0,6.78,4-2020,0
Nokia,8.3 5G 8/128GB Polar Night,19041.0,6.81,10-2020,1
Nokia,800 Tough Black,3241.0,2.4,10-2019,1
Nokia,800 Tough Sand,3216.0,2.4,1-2020,1
Honor,8A 2/32GB Gold,3199.0,6.09,3-2019,0
Honor,8A 3/64GB Blue,3844.0,6.09,11-2019,1
Honor,8A 3/64GB Blue,3844.0,6.09,11-2019,0
Honor,8S 2/32GB Black (51093ULM),2499.0,5.7,5-2019,1
Honor,8S 2/32GB Black (51093ULM),2499.0,5.7,5-2019,1
OnePlus,8T 12/256GB Cyberpunk 2077 Limited Edition,23999.0,6.55,1-2021,1
OnePlus,8T 12/256GB Lunar Silver,18200.0,6.55,10-2020,1
OnePlus,8T 8/128GB Aquamarine Green,16845.0,6.55,10-2020,1
Honor,8x Max 4/64GB Black,5652.0,7.12,10-2018,1
Honor,8x Max 4/64GB Black,5652.0,7.12,10-2018,1
Honor,8x Max 4/64GB Blue,5844.0,7.12,11-2018,1
Honor,9 4/64GB Dual Blue,4461.0,5.15,9-2017,1
Honor,9 Lite 3/32GB Midnight Black,3491.0,5.65,3-2018,1
Honor,9i 3/32GB Black,3424.0,5.84,6-2020,0
Honor,9i 3/32GB Black,3424.0,5.84,6-2020,1
Honor,9i 4/64GB Blue,4009.0,5.84,12-2018,1
Honor,9i 4/64GB Blue,4009.0,5.84,12-2018,0
Honor,9x 4/128GB Black,5599.0,6.59,11-2019,1
Ulefone,A1 Dual Black,817.0,2.4,2-2019,0
Ulefone,A1 Dual Gold,834.0,2.4,2-2019,1
Ulefone,A1 Silver,805.0,2.4,12-2019,1
AGM,A10 6/128GB Black,5628.0,5.7,10-2020,0
OPPO,A12 3/32GB Black,3520.0,6.22,6-2020,0
OPPO,A12 4/64GB Blue,3949.0,6.22,8-2020,1
Astro,A144 Black/Red,214.0,1.77,9-2019,0
Astro,A167 Black/Red,599.0,3.2,10-2020,1
Astro,A167 Black/Red,599.0,3.2,10-2020,1
Astro,A167 Black/Red,599.0,3.2,10-2020,1
Astro,A169 Black Gray,399.0,1.77,4-2020,0
Rezone,A170 Point Black,252.0,1.77,4-2019,0
Rezone,A170 Point Black,252.0,1.77,4-2019,0
Rezone,A170 Point Dark Blue,252.0,1.77,4-2019,1
Rezone,A170 Point Dark Blue,252.0,1.77,4-2019,0
Rezone,A170 Point Dark Blue,252.0,1.77,4-2019,1
Astro,A173 Black/Orange,279.0,1.77,6-2018,0
Astro,A225 Black,359.0,2.4,6-2018,1
Astro,A225 Black,359.0,2.4,6-2018,0
Rezone,A240 Experience Red,308.0,2.4,4-2019,1
Rezone,A281 Force Black,632.0,2.8,4-2019,0
Blackview,A30 2/16GB Black,1852.0,5.5,9-2018,1
Blackview,A30 2/16GB Black,1852.0,5.5,9-2018,1
OPPO,A31 4/64GB Mystery Black,4471.0,6.5,3-2020,1
OPPO,A5 2020 3/64GB Black,4773.0,6.5,11-2019,1
Archos,A50 GRANITE 2/16GB Black,1599.0,5.0,11-2018,0
Bravis,A512 Harmony Pro DS Black,2199.0,5.0,1-2019,0
OPPO,A52 4/64GB Twilight Black,5448.0,6.5,5-2020,0
OPPO,A53 4/128GB Electric Black,5683.0,6.5,11-2020,1
OPPO,A53 4/64GB Black,5257.0,6.5,10-2020,0
NUU,A5L+ 2/16GB Grey,1599.0,5.5,1-2020,1
OPPO,A5s 3/32Gb Blue,3266.0,6.2,8-2019,0
Blackview,A60 1/16GB Black,1910.0,6.1,5-2019,0
Blackview,A60 Plus 4/64GB Black,2831.0,6.08,12-2020,0
Blackview,A60 Pro 3/16GB Black,2465.0,6.08,7-2019,0
Lenovo,A7 2/32GB L19111 Blue,3391.0,6.09,7-2020,0
UMIDIGI,A7 Pro 4/128GB Black,3868.0,6.3,8-2020,1
UMIDIGI,A7 Pro 4/128GB Black,3868.0,6.3,8-2020,0
UMIDIGI,A7 Pro 4/64GB Black,3327.0,6.3,6-2020,1
OPPO,A72 4/128GB Aurora Purple,6867.0,6.5,5-2020,1
